Serveur	position
-LRB-	O
h/f	O
-RRB-	O
,	O
bar	O
à	O
vin	O
,	O
3	O
à	O
4	O
soirs/semaine	O
Le	O
Barav	O
-	O
Paris	city
3e	city
-LRB-	O
75	postal_code
-RRB-	O
10	salary
$	salary
-	salary
11	salary
$	salary
par	O
heure	O
-	O
CDI	contract_type
URGENT	O
!	O
Notre	O
Bar	O
à	O
Vin-Restaurant	O
de	O
Paris	O
3ème	O
recrute	O
1	O
serveur	O
-LRB-	O
h/f	O
-RRB-	O
à	O
temps	O
partiel	O
les	O
soirs	O
-LRB-	O
3	O
à	O
4	O
services/semaine	O
-RRB-	O
.	O
Etre	O
disponible	O
les	O
soirs	O
entre	O
17h	O
et	O
1h	O
Amateur	O
de	O
Vin	O
mais	O
débutant	O
acceptés	O
Anglais	hard_skills
obligatoire	O
1ere	O
expérience	O
en	O
restauration	experience
traditionnelle	experience
exigée	O
Proximité	O
géographique	O
recommandée	O
Sourire	hard_skills
et	O
bonne	hard_skills
humeur	hard_skills
indispensables	O
Type	O
d'emploi	O
:	O
CDI	contract_type
Salaire	O
:	O
10	salary
$	salary
à	salary
11	salary
$	salary
/	O
heure	O
Expérience	O
exigée	O
:	O
restauration	O
traditionnelle	O
:	O
1	experience
an	experience
Langue	O
exigée	O
:	O
anglais	hard_skills
