Pâtissier	position
H/F	O
LE	company
PARFUM	company
DU	company
PAIN	company
-	O
Gières	city
-LRB-	O
38	code postal
-RRB-	O
1	salary
747	salary
$	salary
par	salary
mois	salary
Vous	hard skills
fabriquez	hard skills
les	hard skills
patisseries	hard skills
pour	hard skills
le	hard skills
magasin	hard skills
et	hard skills
sur	hard skills
commande	hard skills
.	
Vous	hard skills
pouvez	hard skills
avoir	hard skills
un	hard skills
peu	hard skills
de	hard skills
polyvalence	hard skills
dans	hard skills
l'établissement	hard skills
.	
Horaires	hard skills
5h30	hard skills
-	
13h	hard skills
du	hard skills
mardi	hard skills
au	hard skills
samedi	hard skills
et	hard skills
le	hard skills
dimanche	hard skills
de	hard skills
manière	hard skills
occasionnelle	hard skills
.	O
Prise	
de	
poste	
le	
1er	
décembre	
2017	
.	O
CDI	contrat_type
37.5	O
h	O
Expérience	experience
souhaitée	experience
,	experience
2	experience
ans	experience
après	experience
le	experience
CAP	experience
Type	
d'emploi	O
:	
Temps	contrat_type
plein	contrat_type
Salaire	O
:	O
1	salary
747	salary
$	salary
/	O
mois	salary
Expérience	O
exigée	O
:	O
tant	experience
que	experience
patissier	experience
qualifié	experience
:	O
2	experience
ans	experience
