Animateurs	position
FC	company
Paris	company
20	O
-	O
Paris	localisation
20e	localisation
-LRB-	O
75	O
-RRB-	O
12	salary
$	salary
par	O
heure	O
-	O
Temps	contract_type
partiel	contract_type
Le	O
FC	O
Paris	O
20	O
est	O
une	O
association	O
sportive	O
œuvrant	O
dans	O
le	O
20ème	O
arrondissement	O
de	O
Paris	O
.	O
L'association	O
,	O
a	O
pour	O
but	O
d'encourager	O
les	O
pratiques	O
sportives	O
féminines	O
.	O
Dans	O
le	O
cadre	O
de	O
son	O
développement	O
,	O
l'association	O
recherche	O
:	O
Des	O
animateurs	O
-LRB-	O
H/F	O
-RRB-	O
disponibles	O
pour	O
des	O
vacations	O
sur	O
les	O
créneaux	O
suivants	O
:	O
Mardi	O
17h30	O
à	O
19h30	O
-LRB-	O
entraînement	O
de	O
football	O
féminin	O
-RRB-	O
Mercredi	O
13h30	O
à	O
16h30	O
-LRB-	O
entraînement	O
boxe	O
anglaise	O
-	O
diplôme	O
obligatoire	O
-RRB-	O
Et	O
pendant	O
les	O
vacances	O
scolaires	O
de	O
la	O
Toussaint	O
du	O
23-oct	O
au	O
03-nov	O
du	O
lundi	O
au	O
vendredi	O
de	O
10h	O
à	O
17h	O
-LRB-	O
dispositif	O
sportif	O
pour	O
les	O
jeunes	O
filles	O
de	O
8	O
à	O
13	O
ans	O
-RRB-	O
Missions	O
:	O
La	O
personne	O
sera	O
chargée	O
,	O
sous	O
la	O
responsabilité	O
hiérarchique	O
de	O
la	O
présidente	O
,	O
d'exercer	O
les	O
missions	O
suivantes	O
:	O
Mettre	O
en	O
œuvre	O
les	O
temps	O
d'animations	O
en	O
direction	O
des	O
jeunes	O
Etre	O
force	O
de	O
proposition	O
en	O
matière	O
d'animations	O
et	O
de	O
projets	O
Assurer	O
l'organisation	O
et	O
gérer	O
les	O
moyens	O
matériels	O
-LRB-	O
anticipation	O
,	O
disponibilité	O
-RRB-	O
nécessaire	O
aux	O
actions	O
-LRB-	O
réservation	O
,	O
achat	O
-RRB-	O
qu'il	O
/	O
elle	O
met	O
en	O
place	O
Mettre	O
en	O
place	O
des	O
espaces	O
d'activités	O
en	O
conformité	O
avec	O
la	O
réglementation	O
DDCS	O
Participer	O
à	O
l'animation	O
du	O
territoire	O
et	O
favoriser	O
l'implication	O
des	O
habitants	O
Compétences	O
requises	O
:	O
Diplôme	O
BAFA	experience
minimum	O
,	O
BPJEPS	experience
,	O
STAPS	O
Expérience	O
dans	O
l'animation	O
Vous	O
aimez	O
travailler	O
en	O
équipe	O
et	O
transmettre	O
des	O
valeurs	O
Type	O
d'emploi	O
:	O
Temps	O
partiel	O
Salaire	O
:	O
12	O
$	O
/	O
heure	O
Formation	O
-LRB-	O
s	O
-RRB-	O
exigée	O
-LRB-	O
s	O
-RRB-	O
:	O
Études	O
secondaires	O
-LRB-	O
niveau	O
Bac	O
-RRB-	O
