Pâtissier	position
H/F	O
FOURNIL	company
DE	company
VIDAUBAN	company
-	O
Vidauban	city
-LRB-	O
83	code postal
-RRB-	O
2	salary
400	salary
$	salary
-	
2	salary
600	salary
$	salary
par	salary
mois	salary
-	O
CDI	contrat_type
Assurer	hard skills
la	hard skills
confection	hard skills
de	hard skills
l'ensemble	hard skills
des	hard skills
pâtisseries	hard skills
,	O
tarteries	hard skills
,	
viennoiseries	hard skills
,	O
feuilletés	hard skills
-LRB-	
travail	hard skills
du	hard skills
tour	hard skills
-RRB-	O
.	O
Assurer	hard skills
le	hard skills
nettoyage	hard skills
de	hard skills
l'ensemble	hard skills
du	hard skills
laboratoire	hard skills
,	O
passer	hard skills
les	hard skills
commandes	hard skills
,	
contrôler	hard skills
les	hard skills
bons	hard skills
de	hard skills
livraisons	hard skills
et	hard skills
les	hard skills
stocks	hard skills
.	O
CDI	contrat_type
42	O
h	O
Hebdomadaire	O
Salaire	O
de	O
2400	salary
$	salary
à	O
2600	salary
$	salary
Brut	salary
selon	O
expérience	O
Contact	O
:	O
06/12/1936	O
/	O
85/61	O
ou	O
06/35/37	O
/	O
44/52	O
Type	O
d'emploi	O
:	O
CDI	contrat_type
Salaire	
:	O
2	salary
400	salary
$	salary
à	O
2	salary
600	salary
$	salary
/	O
mois	salary
Expérience	O
exigée	O
:	O
Boulangerie	experience
:	O
3	experience
ans	experience
