Pâtissier	position
H/F	O
FOURNIL	company
DE	company
VIDAUBAN	company
-	O
Vidauban	localisation
-LRB-	O
83	O
-RRB-	O
2	salary
400	salary
$	salary
-	salary
2	salary
600	salary
$	salary
par	O
mois	O
-	O
CDI	contract_type
Assurer	O
la	O
confection	O
de	O
l'ensemble	O
des	O
pâtisseries	O
,	O
tarteries	O
,	O
viennoiseries	O
,	O
feuilletés	O
-LRB-	O
travail	O
du	O
tour	O
-RRB-	O
.	O
Assurer	O
le	O
nettoyage	O
de	O
l'ensemble	O
du	O
laboratoire	O
,	O
passer	O
les	O
commandes	O
,	O
contrôler	O
les	O
bons	O
de	O
livraisons	O
et	O
les	O
stocks	O
.	O
CDI	O
42	O
h	O
Hebdomadaire	O
Salaire	O
de	O
2400	O
$	O
à	O
2600	O
$	O
Brut	O
selon	O
expérience	O
Contact	O
:	O
06/12/1936	O
/	O
85/61	O
ou	O
06/35/37	O
/	O
44/52	O
Type	O
d'emploi	O
:	O
CDI	O
Salaire	O
:	O
2	O
400	O
$	O
à	O
2	O
600	O
$	O
/	O
mois	O
Expérience	O
exigée	O
:	O
Boulangerie	O
:	O
3	experience
ans	experience
